team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result,,
Utah,Chicago,11/6/23 0:00,113.497,113.527,227.024,0.5,0.5,113,130,243,Utah,Chicago,Loss,223,Over,Win,,
San Antonio,Indiana,11/6/23 0:00,117.742,120.283,238.025,0.43,0.57,111,152,263,Indiana,Indiana,Win,239,Under,Loss,,
Washington,Philadelphia,11/6/23 0:00,110.622,117.452,228.074,0.32,0.69,128,146,274,Philadelphia,Philadelphia,Win,228.5,Under,Loss,,
Boston,Minnesota,11/6/23 7:08,114.333,110.792,225.125,0.598,0.402,109,114,223,Boston,Minnesota,Loss,223.5,Over,Loss,,
Dallas,Orlando,11/6/23 7:08,113.161,112.827,225.987,0.51,0.49,117,102,219,Dallas,Dallas,Win,224,Over,Loss,,
Atlanta,Okla City,11/6/23 7:08,118.534,116.675,235.209,0.552,0.448,117,126,243,Atlanta,Okla City,Loss,238,Under,Loss,,
Milwaukee,Brooklyn,11/6/23 7:08,114.822,115.296,230.118,0.487,0.513,129,125,254,Brooklyn,Milwaukee,Loss,233.5,Under,Loss,,
LA Lakers,Miami,11/6/23 7:08,112.261,111.815,224.076,0.512,0.488,107,108,215,LA Lakers,Miami,Loss,222.5,Over,Loss,,
New Orleans,Denver,11/6/23 7:08,109.561,113.364,222.925,0.395,0.605,116,134,250,Denver,Denver,Win,221,Over,Win,,
Sacramento,Houston,11/6/23 7:08,115.797,112.596,228.392,0.589,0.411,97,122,219,Sacramento,Houston,Loss,218.5,Over,Win,,
Golden State,Detroit,11/6/23 7:08,116.022,111.709,227.731,0.619,0.381,120,109,229,Golden State,Golden State,Win,224.5,Over,Win,,
Utah,Chicago,11/6/23 7:08,113.497,113.527,227.024,0.499,0.501,113,130,243,Chicago,Chicago,Win,223,Over,Win,,
San Antonio,Indiana,11/6/23 7:08,117.742,120.283,238.025,0.429,0.571,111,152,263,Indiana,Indiana,Win,238,Over,Win,,
